Year,Locality,Land Type,Price Per Sq Ft (INR),Rental Value (INR/sqft/year),Appreciation Rate (%),Land Area (sqft),Distance to City Center (km),Zone,Nearby Amenities Score,Road Connectivity Score,Guideline Value (INR/sqft)
2020,Whitefield,Residential,4500,120,6.2,2400,16,Residential,8,7,3200
2020,Whitefield,Commercial,6200,200,5.9,3000,16,Commercial,8,8,4200
2020,Koramangala,Residential,8500,230,6.1,1800,6,Residential,9,9,6500
2020,Koramangala,Commercial,11500,310,6.4,2500,6,Commercial,9,9,8500
2020,Indiranagar,Residential,9000,240,6.3,1600,5,Residential,9,8,7000
2020,Indiranagar,Commercial,12500,330,6.7,2200,5,Commercial,9,9,9000
2020,HSR Layout,Residential,7000,190,5.8,2000,9,Residential,8,8,5100
2020,HSR Layout,Commercial,9600,275,6,2700,9,Commercial,8,8,7000
2020,Marathahalli,Residential,5000,150,5.6,2100,14,Residential,7,7,3500
2020,Marathahalli,Commercial,7200,220,5.9,2600,14,Commercial,7,8,5000
2021,Whitefield,Residential,4770,125,6.3,2450,16,Residential,8,7,3400
2021,Whitefield,Commercial,6510,205,6,3100,16,Commercial,8,8,4400
2021,Koramangala,Residential,8840,235,6.2,1850,6,Residential,9,9,6700
2021,Koramangala,Commercial,11950,315,6.5,2550,6,Commercial,9,9,8700
2021,Indiranagar,Residential,9360,245,6.4,1650,5,Residential,9,8,7200
2021,Indiranagar,Commercial,12980,335,6.8,2250,5,Commercial,9,9,9200
2021,HSR Layout,Residential,7280,195,5.9,2050,9,Residential,8,8,5300
2021,HSR Layout,Commercial,9900,280,6.1,2750,9,Commercial,8,8,7200
2021,Marathahalli,Residential,5250,155,5.7,2150,14,Residential,7,7,3700
2021,Marathahalli,Commercial,7480,225,6,2650,14,Commercial,7,8,5200
2022,Whitefield,Residential,5050,130,6.4,2500,16,Residential,8,7,3600
2022,Whitefield,Commercial,6840,210,6.1,3150,16,Commercial,8,8,4600
2022,Koramangala,Residential,9200,240,6.3,1900,6,Residential,9,9,6900
2022,Koramangala,Commercial,12430,320,6.6,2600,6,Commercial,9,9,8900
2022,Indiranagar,Residential,9720,250,6.5,1700,5,Residential,9,8,7400
2022,Indiranagar,Commercial,13420,340,6.9,2300,5,Commercial,9,9,9400
2022,HSR Layout,Residential,7550,200,6,2100,9,Residential,8,8,5500
2022,HSR Layout,Commercial,10200,285,6.2,2800,9,Commercial,8,8,7400
2022,Marathahalli,Residential,5500,160,5.8,2200,14,Residential,7,7,3900
2022,Marathahalli,Commercial,7800,230,6.1,2700,14,Commercial,7,8,5400
2023,Whitefield,Residential,5350,135,6.5,2550,16,Residential,8,7,3800
2023,Whitefield,Commercial,7200,215,6.2,3200,16,Commercial,8,8,4800
2023,Koramangala,Residential,9570,245,6.4,1950,6,Residential,9,9,7100
2023,Koramangala,Commercial,12950,325,6.7,2650,6,Commercial,9,9,9100
2023,Indiranagar,Residential,10120,255,6.6,1750,5,Residential,9,8,7600
2023,Indiranagar,Commercial,13980,345,7,2350,5,Commercial,9,9,9600
2023,HSR Layout,Residential,7830,205,6.1,2150,9,Residential,8,8,5700
2023,HSR Layout,Commercial,10560,290,6.3,2850,9,Commercial,8,8,7600
2023,Marathahalli,Residential,5750,165,5.9,2250,14,Residential,7,7,4100
2023,Marathahalli,Commercial,8120,235,6.2,2750,14,Commercial,7,8,5600
2024,Whitefield,Residential,5670,140,6.6,2600,16,Residential,8,7,4000
2024,Whitefield,Commercial,7570,220,6.3,3250,16,Commercial,8,8,5000
2024,Koramangala,Residential,9940,250,6.5,2000,6,Residential,9,9,7300
2024,Koramangala,Commercial,13510,330,6.8,2700,6,Commercial,9,9,9300
2024,Indiranagar,Residential,10520,260,6.7,1800,5,Residential,9,8,7800
2024,Indiranagar,Commercial,14540,350,7.1,2400,5,Commercial,9,9,9800
2024,HSR Layout,Residential,8120,210,6.2,2200,9,Residential,8,8,5900
2024,HSR Layout,Commercial,10920,295,6.4,2900,9,Commercial,8,8,7800
2024,Marathahalli,Residential,6000,170,6,2300,14,Residential,7,7,4300
2024,Marathahalli,Commercial,8440,240,6.3,2800,14,Commercial,7,8,5800
